* glass shattering sound *	[ErrorDetector~raw]
\nProbably not natural.	[MainMenuManager]
-- THE RIDE --	[TMPro.TextMeshPro]
-Death\n-Concussion\n-Brain death\n-Fractures\n-Damage\n-Pain\n-Dismissal\n-Injury\n-Scarring\n-PTSD\n-Eye damage\n-Fear\n-Strong pain\n-Agony\n-Cataracts\n-Bleeding\n-Coma\n-Bad stuff\n-Don't fall\n-Please\n-Ouchies\n-Sickness\n-A cold\n-Eye strain\n-FOOSH\n-Gravity\n-Dislocation\n-Screaming\n-Sobbing\n-Depression\n-Expulsion\n-Dementia\n-Headache\n-Eye pain\n-Leg pain\n-Wounds\n-Blood clots\n-Death\n-Concussion\n-Brain death\n-Fractures\n-Damage\n-Pain\n-Dismissal\n-Injury\n-Scarring\n-PTSD\n-Eye damage\n-Fear\n-Strong pain\n-Agony\n-Cataracts\n-Bleeding\n-Coma\n-Bad stuff\n-Don't fall\n-Please\n-Ouchies\n-Sickness\n-A cold\n-Eye strain\n-FOOSH\n-Gravity\n-Dislocation\n-Screaming\n-Sobbing\n-Depression\n-Expulsion\n-Dementia\n-Headache\n-Eye pain\n-Leg pain\n-Wounds\n-Blood clots	[TMPro.TextMeshPro]
// CHAPTER 1 //\n// BADLANDS //	[TMPro.TextMeshProUGUI]
0 deaths	[TMPro.TextMeshProUGUI]
0 kills	[TMPro.TextMeshProUGUI]
0 shots fired	[TMPro.TextMeshProUGUI]
0% no blood spawns, 100% is almost all particles create splats.\nDefault 90%	[TMPro.TextMeshProUGUI]
1000pts to\nrank C	[TMPro.TextMeshProUGUI]
12/67 kills	[TMPro.TextMeshProUGUI]
2/8 characters unlocked	[TMPro.TextMeshProUGUI]
